library,code,name,Lab_L,Lab_a,Lab_b,C,M,Y,K,R,G,B
CMYK,PANTONE P 19-13 C,,60.78431372549019,9,31,,,,,,,
CMYK,PANTONE P 19-14 C,,54.11764705882353,9,36,,,,,,,
CMYK,PANTONE P 19-15 C,,47.05882352941176,12,38,,,,,,,
CMYK,PANTONE P 19-16 C,,39.6078431372549,12,36,,,,,,,
CMYK,PANTONE P 20-1 C,,86.27450980392157,7,27,,,,,,,
CMYK,PANTONE P 20-2 C,,84.31372549019608,9,31,,,,,,,
CMYK,PANTONE P 20-3 C,,82.35294117647058,12,35,,,,,,,
CMYK,PANTONE P 20-4 C,,80.0,14,41,,,,,,,
CMYK,PANTONE P 20-5 C,,77.64705882352942,17,47,,,,,,,
CMYK,PANTONE P 20-6 C,,74.11764705882354,22,50,,,,,,,
CMYK,PANTONE P 20-7 C,,70.58823529411765,26,59,,,,,,,
CMYK,PANTONE P 20-8 C,,67.84313725490196,31,64,,,,,,,
CMYK,PANTONE P 20-9 C,,81.56862745098039,9,29,,,,,,,
CMYK,PANTONE P 20-10 C,,79.2156862745098,10,32,,,,,,,
CMYK,PANTONE P 20-11 C,,76.86274509803923,11,35,,,,,,,
CMYK,PANTONE P 20-12 C,,74.50980392156863,13,40,,,,,,,
CMYK,PANTONE P 20-13 C,,70.98039215686275,17,45,,,,,,,
CMYK,PANTONE P 20-14 C,,67.84313725490196,20,50,,,,,,,
CMYK,PANTONE P 20-15 C,,64.70588235294117,23,55,,,,,,,
CMYK,PANTONE P 20-16 C,,61.568627450980394,26,58,,,,,,,
CMYK,PANTONE P 21-1 C,,82.74509803921568,6,22,,,,,,,
CMYK,PANTONE P 21-2 C,,78.82352941176471,8,27,,,,,,,
CMYK,PANTONE P 21-3 C,,75.29411764705883,11,32,,,,,,,
CMYK,PANTONE P 21-4 C,,71.37254901960785,14,36,,,,,,,
CMYK,PANTONE P 21-5 C,,66.27450980392156,17,41,,,,,,,
CMYK,PANTONE P 21-6 C,,61.568627450980394,20,46,,,,,,,
CMYK,PANTONE P 21-7 C,,58.43137254901961,22,51,,,,,,,
CMYK,PANTONE P 21-8 C,,54.11764705882353,26,52,,,,,,,
CMYK,PANTONE P 21-9 C,,74.11764705882354,9,29,,,,,,,
CMYK,PANTONE P 21-10 C,,71.37254901960785,11,32,,,,,,,
CMYK,PANTONE P 21-11 C,,67.84313725490196,13,34,,,,,,,
CMYK,PANTONE P 21-12 C,,63.13725490196078,15,38,,,,,,,
CMYK,PANTONE P 21-13 C,,59.6078431372549,18,41,,,,,,,
CMYK,PANTONE P 21-14 C,,55.68627450980392,20,45,,,,,,,
CMYK,PANTONE P 21-15 C,,52.156862745098046,22,47,,,,,,,
CMYK,PANTONE P 21-16 C,,49.80392156862745,24,47,,,,,,,
CMYK,PANTONE P 22-1 C,,81.96078431372548,5,16,,,,,,,
CMYK,PANTONE P 22-2 C,,76.86274509803923,7,21,,,,,,,
CMYK,PANTONE P 22-3 C,,72.15686274509804,9,28,,,,,,,
CMYK,PANTONE P 22-4 C,,67.84313725490196,11,31,,,,,,,
CMYK,PANTONE P 22-5 C,,62.745098039215684,13,34,,,,,,,
CMYK,PANTONE P 22-6 C,,58.43137254901961,15,39,,,,,,,
CMYK,PANTONE P 22-7 C,,52.54901960784314,18,41,,,,,,,
CMYK,PANTONE P 22-8 C,,47.05882352941176,19,44,,,,,,,
CMYK,PANTONE P 22-9 C,,79.2156862745098,5,16,,,,,,,
CMYK,PANTONE P 22-10 C,,72.94117647058823,8,22,,,,,,,
CMYK,PANTONE P 22-11 C,,68.23529411764706,9,27,,,,,,,
CMYK,PANTONE P 22-12 C,,64.31372549019608,10,29,,,,,,,
CMYK,PANTONE P 22-13 C,,58.82352941176471,12,33,,,,,,,
CMYK,PANTONE P 22-14 C,,53.72549019607843,14,35,,,,,,,
CMYK,PANTONE P 22-15 C,,46.666666666666664,16,37,,,,,,,
CMYK,PANTONE P 22-16 C,,40.3921568627451,16,38,,,,,,,
CMYK,PANTONE P 23-1 C,,80.7843137254902,4,10,,,,,,,
CMYK,PANTONE P 23-2 C,,77.64705882352942,4,13,,,,,,,
CMYK,PANTONE P 23-3 C,,74.50980392156863,5,14,,,,,,,
CMYK,PANTONE P 23-4 C,,70.98039215686275,7,17,,,,,,,
CMYK,PANTONE P 23-5 C,,68.23529411764706,8,18,,,,,,,
CMYK,PANTONE P 23-6 C,,64.70588235294117,9,18,,,,,,,
CMYK,PANTONE P 23-7 C,,61.1764705882353,11,19,,,,,,,
CMYK,PANTONE P 23-8 C,,58.82352941176471,12,19,,,,,,,
